system_id,method_type,n_compounds,n_unique_compounds,rt_min,rt_max,rt_range
0186,RP,80038,79973,0.005,24.52833333333333,24.52333333333333
0391,RP,9686,6901,0.4565,7.4626,7.0061
0390,RP,7333,3480,0.4629,7.4299,6.967
0382,RP,2285,2219,1.2,16.1,14.900000000000002
0383,RP,2282,1916,1.23,16.1,14.870000000000001
0437,RP,1953,1953,1.081,21.473000000000003,20.392000000000003
0262,RP,1669,1205,2,21.736537,19.736537
0263,RP,1531,1074,2.00369295,21.42976,19.42606705
0436,RP,1326,1324,1.23,15.3,14.07
0063,RP,1096,1061,0.37,10.55,10.180000000000001
0228,HILIC,1001,989,0.89,10.28,9.389999999999999
0225,HILIC,999,989,0.89,10.28,9.389999999999999
0210,RP,861,819,0.588333333,23.51,22.921666667
0429,RP,804,760,1.52,10.4,8.88
0392,RP,726,663,0.6124604,11.31631,10.7038496
0219,RP,672,672,1.66,10.4,8.74
0415,RP,667,665,1.218,21.24,20.022
0048,RP,663,553,0.49,14.6,14.11
0260,RP,663,659,1.401,14.98,13.579
0044,HILIC,593,492,1.48,19.85,18.37
0246,RP,593,563,0.441,8.499,8.058
0403,RP,584,518,0.653,5.395,4.741999999999999
0238,RP,580,551,0.48,9.82,9.34
0252,RP,569,540,0.536,9.826,9.290000000000001
0244,RP,567,537,0.448,9.138,8.69
0248,RP,566,537,0.442,9.474,9.032
0256,RP,566,538,0.564,9.902,9.338
0254,RP,564,534,0.499,8.51,8.011
0236,RP,561,535,0.485,8.741,8.256
0240,RP,560,535,0.48,9.016,8.536
